Caso,Atividade,Recurso,Início,Fim
10,Leitura do Cartão Pré-pago,Cancela 1,2023-07-01 13:42:10,2023-07-01 13:42:14
10,Solicitar Ticket,Cancela 4,2023-07-01 13:42:24,2023-07-01 13:42:38
10,Impressão do Ticket,Cancela 2,2023-07-01 13:43:04,2023-07-01 13:43:19
10,Validar Ticket,Caixa 4,2023-07-01 17:19:19,2023-07-01 17:19:29
10,Pagar Estacionamento,Caixa 3,2023-07-01 17:19:45,2023-07-01 17:21:19
10,Saída do Estacionamento,Caixa 2,2023-07-01 17:21:42,2023-07-01 17:21:42
11,Entrada no Estacionamento,Cancela 4,2023-07-01 10:09:00,2023-07-01 10:09:00
11,Solicitar Ticket,Cancela 4,2023-07-01 10:09:59,2023-07-01 10:10:19
11,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 10:10:56,2023-07-01 10:14:00
11,Solicitar Ticket,Cancela 2,2023-07-01 10:14:14,2023-07-01 10:14:26
11,Leitura do Cartão Pré-pago,Cancela 3,2023-07-01 10:14:45,2023-07-01 10:14:48
11,Solicitar Ticket,Cancela 3,2023-07-01 10:15:09,2023-07-01 10:15:15
11,Saída do Estacionamento,Caixa 4,2023-07-01 10:16:04,2023-07-01 10:16:04
12,Entrada no Estacionamento,Cancela 2,2023-07-01 10:35:00,2023-07-01 10:35:00
12,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 10:35:37,2023-07-01 10:40:13
12,Scan Sem Parar,Cancela 1,2023-07-01 10:40:48,2023-07-01 10:40:52
12,Saída do Estacionamento,Caixa 4,2023-07-01 10:52:52,2023-07-01 10:52:52
13,Entrada no Estacionamento,Cancela 3,2023-07-01 12:51:00,2023-07-01 12:51:00
13,Solicitar Ticket,Cancela 1,2023-07-01 12:51:07,2023-07-01 12:51:17
13,Impressão do Ticket,Cancela 1,2023-07-01 12:52:00,2023-07-01 12:52:14
13,Solicitar Ticket,Cancela 1,2023-07-01 13:19:14,2023-07-01 13:19:25
13,Impressão do Ticket,Cancela 1,2023-07-01 13:19:26,2023-07-01 13:19:33
13,Solicitar Ticket,Cancela 1,2023-07-01 14:07:33,2023-07-01 14:07:40
13,Impressão do Ticket,Cancela 2,2023-07-01 14:08:10,2023-07-01 14:08:16
13,Validar Ticket,Caixa 3,2023-07-01 17:10:16,2023-07-01 17:10:20
13,Comprar Cartão Pré-pago,Caixa 3,2023-07-01 17:11:13,2023-07-01 17:16:43
13,Saída do Estacionamento,Caixa 2,2023-07-01 17:17:27,2023-07-01 17:17:27
14,Entrada no Estacionamento,Cancela 3,2023-07-01 11:42:00,2023-07-01 11:42:00
14,Solicitar Ticket,Cancela 5,2023-07-01 11:42:40,2023-07-01 11:42:57
14,Adicionar Créditos,Totem 4,2023-07-01 11:43:03,2023-07-01 11:44:16
14,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 11:44:19,2023-07-01 11:47:58
14,Reservar Vaga,Totem 3,2023-07-01 11:48:07,2023-07-01 11:51:07
14,Solicitar Ticket,Cancela 5,2023-07-01 11:51:15,2023-07-01 11:51:28
14,Impressão do Ticket,Cancela 5,2023-07-01 11:51:53,2023-07-01 11:52:05
14,Solicitar Ticket,Cancela 5,2023-07-01 14:03:05,2023-07-01 14:03:23
14,Impressão do Ticket,Cancela 1,2023-07-01 14:04:11,2023-07-01 14:04:24
14,Validar Ticket,Caixa 1,2023-07-01 17:52:24,2023-07-01 17:52:29
14,Cancelar Reserva,Totem 3,2023-07-01 17:53:08,2023-07-01 17:54:23
14,Solicitar Ticket,Cancela 3,2023-07-01 17:55:02,2023-07-01 17:55:09
14,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 17:55:23,2023-07-01 18:00:30
14,Solicitar Ticket,Cancela 3,2023-07-01 18:01:03,2023-07-01 18:01:14
14,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 18:01:14,2023-07-01 18:01:15
14,Scan Sem Parar,Cancela 2,2023-07-01 18:01:27,2023-07-01 18:01:28
14,Pagar Estacionamento,Caixa 1,2023-07-01 20:36:28,2023-07-01 20:39:05
14,Leitura do Cartão Pré-pago,Cancela 4,2023-07-01 20:39:07,2023-07-01 20:39:11
14,Impressão do Ticket,Cancela 1,2023-07-01 20:40:08,2023-07-01 20:40:26
14,Pagar Estacionamento,Caixa 1,2023-07-02 00:23:26,2023-07-02 00:25:50
14,Saída do Estacionamento,Caixa 3,2023-07-02 00:26:15,2023-07-02 00:26:15
15,Entrada no Estacionamento,Cancela 3,2023-07-01 12:23:00,2023-07-01 12:23:00
15,Leitura do Cartão Pré-pago,Cancela 5,2023-07-01 12:23:05,2023-07-01 12:23:06
15,Solicitar Ticket,Cancela 4,2023-07-01 12:23:57,2023-07-01 12:24:15
15,Saída do Estacionamento,Caixa 4,2023-07-01 12:24:35,2023-07-01 12:24:35
16,Entrada no Estacionamento,Cancela 1,2023-07-01 12:15:00,2023-07-01 12:15:00
16,Solicitar Ticket,Cancela 1,2023-07-01 12:16:00,2023-07-01 12:16:12
16,Impressão do Ticket,Cancela 3,2023-07-01 12:16:47,2023-07-01 12:17:02
16,Comprar Cartão Pré-pago,Caixa 1,2023-07-01 13:06:02,2023-07-01 13:11:12
16,Perda de Ticket,Caixa 2,2023-07-01 13:11:31,2023-07-01 13:11:31
16,Solicitar Ticket,Cancela 1,2023-07-01 13:12:09,2023-07-01 13:12:18
16,Validar Ticket,Caixa 4,2023-07-01 13:13:00,2023-07-01 13:13:10
16,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 13:13:26,2023-07-01 13:17:46
16,Impressão do Ticket,Cancela 4,2023-07-01 13:17:57,2023-07-01 13:18:16
16,Validar Ticket,Caixa 2,2023-07-01 14:58:16,2023-07-01 14:58:21
16,Solicitar Ticket,Cancela 4,2023-07-01 14:58:28,2023-07-01 14:58:43
16,Validar Ticket,Caixa 1,2023-07-01 14:59:39,2023-07-01 14:59:46
16,Pagar Estacionamento,Caixa 3,2023-07-01 15:00:24,2023-07-01 15:02:33
16,Solicitar Ticket,Cancela 3,2023-07-01 15:03:30,2023-07-01 15:03:48
16,Validar Ticket,Caixa 2,2023-07-01 15:04:32,2023-07-01 15:04:41
16,Solicitar Ticket,Cancela 1,2023-07-01 15:05:03,2023-07-01 15:05:21
16,Pagar Estacionamento,Caixa 3,2023-07-01 15:06:03,2023-07-01 15:06:58
16,Impressão do Ticket,Cancela 2,2023-07-01 15:07:06,2023-07-01 15:07:17
16,Solicitar Ticket,Cancela 1,2023-07-01 16:40:17,2023-07-01 16:40:29
16,Impressão do Ticket,Cancela 3,2023-07-01 16:40:43,2023-07-01 16:40:58
16,Saída do Estacionamento,Caixa 2,2023-07-01 19:16:58,2023-07-01 19:16:58
17,Entrada no Estacionamento,Cancela 2,2023-07-01 12:36:00,2023-07-01 12:36:00
17,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 12:36:04,2023-07-01 12:41:36
17,Solicitar Ticket,Cancela 5,2023-07-01 12:42:36,2023-07-01 12:42:45
17,Impressão do Ticket,Cancela 5,2023-07-01 12:43:13,2023-07-01 12:43:27
17,Validar Ticket,Caixa 2,2023-07-01 13:27:27,2023-07-01 13:27:38
17,Adicionar Créditos,Totem 2,2023-07-01 13:27:42,2023-07-01 13:29:01
17,Impressão do Ticket,Cancela 3,2023-07-01 13:29:19,2023-07-01 13:29:27
17,Comprar Cartão Pré-pago,Caixa 1,2023-07-01 17:27:27,2023-07-01 17:32:15
17,Saída do Estacionamento,Caixa 2,2023-07-01 17:33:05,2023-07-01 17:33:05
18,Entrada no Estacionamento,Cancela 5,2023-07-01 11:57:00,2023-07-01 11:57:00
18,Leitura do Cartão Pré-pago,Cancela 1,2023-07-01 11:57:28,2023-07-01 11:57:32
18,Saída do Estacionamento,Caixa 2,2023-07-01 11:58:07,2023-07-01 11:58:07
19,Entrada no Estacionamento,Cancela 5,2023-07-01 10:09:00,2023-07-01 10:09:00
19,Scan Sem Parar,Cancela 3,2023-07-01 10:09:59,2023-07-01 10:10:00
19,Solicitar Ticket,Cancela 1,2023-07-01 13:43:00,2023-07-01 13:43:06
19,Impressão do Ticket,Cancela 1,2023-07-01 13:43:56,2023-07-01 13:44:13
19,Saída do Estacionamento,Caixa 3,2023-07-01 15:09:13,2023-07-01 15:09:13
20,Entrada no Estacionamento,Cancela 3,2023-07-01 11:33:00,2023-07-01 11:33:00
20,Solicitar Ticket,Cancela 5,2023-07-01 11:33:23,2023-07-01 11:33:43
20,Impressão do Ticket,Cancela 2,2023-07-01 11:34:38,2023-07-01 11:34:58
20,Solicitar Ticket,Cancela 2,2023-07-01 11:52:58,2023-07-01 11:53:11
20,Impressão do Ticket,Cancela 1,2023-07-01 11:53:38,2023-07-01 11:53:46
20,Leitura do Cartão Pré-pago,Cancela 4,2023-07-01 12:24:46,2023-07-01 12:24:47
20,Validar Ticket,Caixa 1,2023-07-01 12:24:50,2023-07-01 12:24:57
20,Saída do Estacionamento,Caixa 4,2023-07-01 12:25:37,2023-07-01 12:25:37
21,Entrada no Estacionamento,Cancela 1,2023-07-01 07:54:00,2023-07-01 07:54:00
21,Adicionar Créditos,Totem 2,2023-07-01 07:54:59,2023-07-01 07:55:52
21,Solicitar Ticket,Cancela 4,2023-07-01 07:56:45,2023-07-01 07:56:58
21,Impressão do Ticket,Cancela 5,2023-07-01 07:57:53,2023-07-01 07:58:02
21,Validar Ticket,Caixa 4,2023-07-01 11:38:02,2023-07-01 11:38:13
21,Impressão do Ticket,Cancela 3,2023-07-01 11:38:29,2023-07-01 11:38:45
21,Validar Ticket,Caixa 1,2023-07-01 13:45:45,2023-07-01 13:45:57
21,Saída do Estacionamento,Caixa 1,2023-07-01 13:46:11,2023-07-01 13:46:11
22,Entrada no Estacionamento,Cancela 1,2023-07-01 09:01:00,2023-07-01 09:01:00
22,Solicitar Ticket,Cancela 3,2023-07-01 09:01:16,2023-07-01 09:01:26
22,Impressão do Ticket,Cancela 2,2023-07-01 09:01:40,2023-07-01 09:01:51
22,Solicitar Ticket,Cancela 4,2023-07-01 10:20:51,2023-07-01 10:21:01
22,Impressão do Ticket,Cancela 2,2023-07-01 10:21:57,2023-07-01 10:22:15
22,Solicitar Ticket,Cancela 2,2023-07-01 12:58:15,2023-07-01 12:58:29
22,Impressão do Ticket,Cancela 1,2023-07-01 12:59:23,2023-07-01 12:59:29
22,Reservar Vaga,Totem 4,2023-07-01 13:39:29,2023-07-01 13:41:27
22,Solicitar Ticket,Cancela 5,2023-07-01 13:41:45,2023-07-01 13:41:55
22,Impressão do Ticket,Cancela 1,2023-07-01 13:42:00,2023-07-01 13:42:13
22,Validar Ticket,Caixa 3,2023-07-01 16:59:13,2023-07-01 16:59:22
22,Solicitar Ticket,Cancela 4,2023-07-01 16:59:56,2023-07-01 17:00:06
22,Cancelar Reserva,Totem 1,2023-07-01 17:00:24,2023-07-01 17:00:51
22,Impressão do Ticket,Cancela 1,2023-07-01 17:01:36,2023-07-01 17:01:48
22,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 17:02:48,2023-07-01 17:07:27
22,Solicitar Ticket,Cancela 3,2023-07-01 17:07:42,2023-07-01 17:08:00
22,Reservar Vaga,Totem 4,2023-07-01 17:08:29,2023-07-01 17:11:41
22,Solicitar Ticket,Cancela 3,2023-07-01 17:11:50,2023-07-01 17:11:58
22,Saída do Estacionamento,Caixa 2,2023-07-01 17:12:27,2023-07-01 17:12:27
23,Entrada no Estacionamento,Cancela 4,2023-07-01 07:03:00,2023-07-01 07:03:00
23,Solicitar Ticket,Cancela 5,2023-07-01 07:03:26,2023-07-01 07:03:43
23,Impressão do Ticket,Cancela 2,2023-07-01 07:04:18,2023-07-01 07:04:31
23,Validar Ticket,Caixa 1,2023-07-01 07:29:31,2023-07-01 07:29:40
23,Pagar Estacionamento,Caixa 1,2023-07-01 07:29:47,2023-07-01 07:32:05
23,Adicionar Créditos,Totem 1,2023-07-01 07:32:09,2023-07-01 07:32:42
23,Comprar Cartão Pré-pago,Caixa 1,2023-07-01 07:33:09,2023-07-01 07:37:42
23,Adicionar Créditos,Totem 2,2023-07-01 07:38:18,2023-07-01 07:39:05
23,Impressão do Ticket,Cancela 3,2023-07-01 07:39:24,2023-07-01 07:39:39
23,Solicitar Ticket,Cancela 5,2023-07-01 10:01:39,2023-07-01 10:01:47
23,Saída do Estacionamento,Caixa 1,2023-07-01 10:02:40,2023-07-01 10:02:40
24,Entrada no Estacionamento,Cancela 3,2023-07-01 10:10:00,2023-07-01 10:10:00
24,Solicitar Ticket,Cancela 5,2023-07-01 10:10:56,2023-07-01 10:11:16
24,Impressão do Ticket,Cancela 5,2023-07-01 10:11:28,2023-07-01 10:11:46
24,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 14:10:46,2023-07-01 14:10:48
24,Saída do Estacionamento,Caixa 3,2023-07-01 14:11:44,2023-07-01 14:11:44
25,Entrada no Estacionamento,Cancela 3,2023-07-01 08:22:00,2023-07-01 08:22:00
25,Solicitar Ticket,Cancela 2,2023-07-01 08:22:49,2023-07-01 08:23:07
25,Impressão do Ticket,Cancela 2,2023-07-01 08:23:10,2023-07-01 08:23:16
25,Solicitar Ticket,Cancela 4,2023-07-01 10:40:16,2023-07-01 10:40:29
25,Impressão do Ticket,Cancela 2,2023-07-01 10:40:53,2023-07-01 10:41:10
25,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 11:41:10,2023-07-01 11:41:11
25,Saída do Estacionamento,Caixa 2,2023-07-01 11:41:24,2023-07-01 11:41:24
26,Entrada no Estacionamento,Cancela 1,2023-07-01 08:49:00,2023-07-01 08:49:00
26,Comprar Cartão Pré-pago,Caixa 1,2023-07-01 08:49:16,2023-07-01 08:54:34
26,Solicitar Ticket,Cancela 2,2023-07-01 08:55:33,2023-07-01 08:55:52
26,Impressão do Ticket,Cancela 3,2023-07-01 08:56:40,2023-07-01 08:56:54
26,Validar Ticket,Caixa 3,2023-07-01 10:49:54,2023-07-01 10:50:06
26,Leitura do Cartão Pré-pago,Cancela 5,2023-07-01 10:50:09,2023-07-01 10:50:12
26,Saída do Estacionamento,Caixa 1,2023-07-01 10:50:14,2023-07-01 10:50:14
27,Entrada no Estacionamento,Cancela 5,2023-07-01 08:41:00,2023-07-01 08:41:00
27,Solicitar Ticket,Cancela 5,2023-07-01 08:41:07,2023-07-01 08:41:26
27,Impressão do Ticket,Cancela 1,2023-07-01 08:41:38,2023-07-01 08:41:51
27,Scan Sem Parar,Cancela 1,2023-07-01 10:38:51,2023-07-01 10:38:54
27,Impressão do Ticket,Cancela 4,2023-07-01 11:35:54,2023-07-01 11:36:04
27,Reservar Vaga,Totem 2,2023-07-01 12:00:04,2023-07-01 12:01:51
27,Validar Ticket,Caixa 1,2023-07-01 12:02:27,2023-07-01 12:02:38
27,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 12:03:07,2023-07-01 12:03:11
27,Validar Ticket,Caixa 2,2023-07-01 12:03:56,2023-07-01 12:04:05
27,Solicitar Ticket,Cancela 3,2023-07-01 12:05:01,2023-07-01 12:05:08
27,Validar Ticket,Caixa 1,2023-07-01 12:05:49,2023-07-01 12:05:59
27,Leitura do Cartão Pré-pago,Cancela 3,2023-07-01 12:06:19,2023-07-01 12:06:21
27,Impressão do Ticket,Cancela 3,2023-07-01 12:06:52,2023-07-01 12:07:11
27,Solicitar Ticket,Cancela 2,2023-07-01 15:19:11,2023-07-01 15:19:23
27,Validar Ticket,Caixa 2,2023-07-01 15:20:02,2023-07-01 15:20:11
27,Solicitar Ticket,Cancela 4,2023-07-01 15:20:17,2023-07-01 15:20:24
27,Impressão do Ticket,Cancela 1,2023-07-01 15:20:31,2023-07-01 15:20:50
27,Cancelar Reserva,Totem 2,2023-07-01 18:43:50,2023-07-01 18:44:33
27,Pagar Estacionamento,Caixa 3,2023-07-01 18:44:48,2023-07-01 18:46:19
27,Saída do Estacionamento,Caixa 1,2023-07-01 18:46:48,2023-07-01 18:46:48
28,Entrada no Estacionamento,Cancela 3,2023-07-01 12:10:00,2023-07-01 12:10:00
28,Solicitar Ticket,Cancela 1,2023-07-01 12:10:29,2023-07-01 12:10:49
28,Scan Sem Parar,Cancela 1,2023-07-01 12:11:24,2023-07-01 12:11:27
28,Saída do Estacionamento,Caixa 4,2023-07-01 14:33:27,2023-07-01 14:33:27
29,Entrada no Estacionamento,Cancela 3,2023-07-01 11:54:00,2023-07-01 11:54:00
